Course	Name	Attributes	Prerequisites
CHBE 7774	Fatigue of Materials and Structures		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
CHBE 7775	Topics in Fracture and Fatigue of Metallic and Composite		ME 2211,AE 2120,|
CHBE 7791	Damage, Failure, and Durability of Composite Materials		AE 4791,CEE 4791,|,CHBE 4791,ME 4791,|,|,MSE 4791,|
CHBE 7792	Advanced Mechanics of Composites		CHBE 4791,CEE 6312,&
CHBE 7793	Manufacturing of Composites		CHBE 4793
CHBE 8001	Seminar in Chemical Engineering		
CHBE 8002	Seminar in Chemical Engineering		
CHBE 8801	Special Topics		
CHBE 8802	Special Topics		
CHBE 8803	Special Topics		
CHBE 8804	Special Topics		
CHBE 8901	Special Problems		
CHBE 8997	Teaching Assistantship		
CHBE 8998	Research Assistantship		
CHBE 9000	Doctoral Thesis		
