Course	Name	Attributes	Prerequisites
ME 6796	Structure-Property Relationships in Materials		
ME 6797	Thermodynamics and Kinetics of Microstructural Evolution		
ME 6799	Legal Issues in Technology Transfer		
ME 7000	Master's Thesis		
ME 7101	Seminar in Engineering Design		ME 6101
ME 7201	Computational Mechanics of Materials		ME 6201
ME 7203	Advanced Constitutive Relations for Solids		ME 6201
ME 7205	Mechanics and Applications of Nanostructured Materials and Devices		ME 6201
ME 7226	Interface and Surface Properties		PHYS 4222,ME 6242,&
ME 7227	Rapid Prototyping in Engineering		ME 6104,ME 6222,&
ME 7228	Thermomechanical Reliability in Electronic Packaging		ME 6124,ME 6222,&
ME 7301	Transport Phenomena in Multiphase Flow		ME 6301,ME 6302,&,ME 6602,&
ME 7442	Vibration of Continuous Systems		ME 6442
ME 7602	Hydrodynamic Stability		ME 6601
ME 7751	Computational Fluid Mechanics		CEE 6251,ME 6601,&
ME 7757	Teaching Practicum		
ME 7764	Acoustic Propagation		AE 6760,ME 6760,|
ME 7771	Mechanics of Polymer Solids and Fluids		
ME 7772	Fundamentals of Fracture Mechanics		ME 3201,MSE 3005,|
ME 7773	Advanced Fracture Mechanics		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
ME 7774	Fatigue of Materials and Structures		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
ME 7775	Topics in Fracture and Fatigue of Metallic and Composite Structures		ME 2211,AE 2120,|
ME 7785	Introduction to Robotics Research		
ME 7791	Damage, Failure, and Durability of Composite Materials		AE 4791,CHBE 4791,|,CEE 4791,ME 4791,|,|,MSE 4791,|
ME 7792	Advanced Mechanics of Composites		AE 4791,CEE 4791,|,CHBE 4791,ME 4791,|,|,MSE 4791,PTFE 4791,|,|
ME 7793	Manufacturing of Composites		AE 4793,AE 4794,|,CEE 4793,CEE 4794,|,|,CHBE 4793,CHBE 4794,|,|,ME 4793,ME 4794,|,|,MSE 4793,MSE 4794,|,|,AE 47940,AE 47941,|,|
ME 8001	Master Seminar I		
ME 8002	Master Seminar II		
ME 8010	Seminars in Mechanical Engineering		
ME 8011	Seminars in Mechanical Engineering		
ME 8012	Seminars in Mechanical Engineering		
ME 8750	Robotics Research Foundation I		ME 7785,AE 7785,|,ECE 7785,CS 7785,|,|
ME 8751	Robotics Research Foundation II		ME 8750,AE 8750,|,CS 8750,ECE 8750,|,|
ME 8801	Special Topics in Manufacturing		
ME 8802	Special Topics in Manufacturing		
ME 8803	Special Topics in Manufacturing		
ME 8804	Special Topics in Manufacturing		
ME 8805	Special Topics in Manufacturing		
ME 8806	Special Topics in Manufacturing		
